summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,issuing_agency,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_location,violation_precinct,issuer_precinct,issuer_code,issuer_command,issuer_squad,violation_time,violation_county,street_name,intersecting_street,date_first_observed,law_section,sub_division,days_parking_in_effect,from_hours_in_effect,to_hours_in_effect,vehicle_color,unregistered_vehicle,vehicle_year,meter_number,feet_from_curb,violation_in_front_of_or_opposite,house_number,time_first_observed,violation_description,violation_legal_code,violation_post_code,lat,lon
9066976299,68579MN,NY,COM,2023-07-19T00:00:00.000,10,VAN,HIN,T,15710,0,0,20240630.0,20.0,20,20,373703,T103,P,1257P,NY,Columbus Ave,5ft N/of W 68th St,0,408,B,YYYYYYY,,,WH,,2008,,0,I,E,,10-No Stopping,,19,40.7757945,-73.9799825
9059756680,63795NA,NY,COM,2023-07-12T00:00:00.000,38,VAN,FORD,T,35210,0,0,20240930.0,20.0,20,20,355660,T103,N,1049A,NY,W 72nd St,150ft E/of Columbus,0,408,H1,YYYYYY,0900A,0700P,WH,,2018,111872,0,I,S,,38-Failure to Dsplay Meter Rec,,08,40.7804979,-73.9861418
9077030323,KRR6596,PA,PAS,2023-08-28T00:00:00.000,14,4DSD,DODGE,T,36610,0,0,88888888.0,32.0,32,32,355672,T103,M,0224P,NY,W 142nd St,20ft W/of Adam Clayt,0,408,C,YYYYYYY,,,GREY,,0,,0,I,S,,14-No Standing,,C,40.8191554,-73.9391392
9062941904,RYC3628,GA,PAS,2023-07-25T00:00:00.000,14,4DSD,NISSA,T,34590,10610,10810,20240388.0,14.0,14,14,367345,T106,L,1255P,NY,W 41st St,,0,408,C,YYYYYYY,,,GREY,,0,,0,F,200,,14-No Standing,,56,40.7554264,-73.9878102
9064470467,69718MD,NY,COM,2023-07-17T00:00:00.000,21,VAN,FORD,T,28990,29890,31490,20231231.0,7.0,7,7,374628,T105,M,1018A,NY,Pitt St,,0,408,D1,Y  Y,0900A,1030A,GY,,2014,,0,F,85,,21-No Parking (street clean),,E,40.718632,-73.9825749
9056269641,AL58519,AZ,PAS,2023-07-05T00:00:00.000,69,DELV,GMC,T,34690,10410,10510,88888888.0,14.0,14,14,362166,T106,F,0735A,NY,W 46th St,,0,408,H1,YYYYY,0700A,0600P,WHITE,,0,104933,0,F,21,,69-Fail to Dsp Prking Mtr Rcpt,,03,40.7566824,-73.9800301
9064054630,GHE7155,NY,PAS,2023-07-25T00:00:00.000,14,SUBN,HONDA,T,36710,11710,13610,20230721.0,30.0,30,30,330291,T103,A,0751A,NY,W 147th St,,0,408,C,SCHOOL,0700A,0400P,GR,,2001,,0,O,501,,14-No Standing,,D,40.8267442,-73.9469056
2012729824,LPK9679,PA,PAS,2023-07-18T00:00:00.000,21,SUBN,DODGE,S,48220,42820,42120,0.0,44.0,44,0,589414,BX04,,1146A,Bronx,MACOMBS ROAD,,0,408,d1,Y  Y,1130A,0100P,WH,,0,,0,F,1460,00000,No Parking Street Cleaning,,,40.8418772,-73.9177233
9058919110,4YTA395,CA,PAS,2023-07-06T00:00:00.000,21,SUBN,HONDA,T,18590,10010,45590,20238888.0,19.0,19,19,374653,T103,E,0914A,NY,E 80th St,,0,408,D1,Y  Y,0900A,1030A,PURPL,,0,,0,F,425,,21-No Parking (street clean),,26,40.7727747,-73.9511042
9066043337,JGR6393,NY,PAS,2023-07-20T00:00:00.000,70,SUBN,HONDA,T,35730,0,0,88888888.0,70.0,70,70,345534,T302,R,0755A,K,E 21st St,20ft S/of Albemarle,0,408,J3,YYYYYYY,,,WHITE,,0,,0,I,E,,70-Reg. Sticker Missing (NYS),,R,40.6513823,-73.9601994
