violation_county,street_name,house_number,full_address,lat,lon
NY,2nd Ave,E,"E 2nd Ave, NY, NYC",40.782113,-73.94865
Kings,BEADEL STREET,87,"87 BEADEL STREET, Kings, NYC",40.721938,-73.937474
K,18th Ave,6419,"6419 18th Ave, K, NYC",40.619184,-73.989786
Q,31st Ave,32-01,"32-01 31st Ave, Q, NYC",40.764021,-73.922434
K,7th Ave,418,"418 7th Ave, K, NYC",40.664175,-73.984111
NY,E 53rd St,S,"S E 53rd St, NY, NYC",40.611478,-73.921977
Q,Steinway St,32-36,"32-36 Steinway St, Q, NYC",40.758128,-73.919887
Kings,CLARENDON ROAD,5321,"5321 CLARENDON ROAD, Kings, NYC",40.644858,-73.925955
Q,Steinway Pl,18-35,"18-35 Steinway Pl, Q, NYC",40.779747,-73.898625
K,NARROWS AVE,8911,"8911 NARROWS AVE, K, NYC",40.622874,-74.039828
NY,E 102nd St,129,"129 E 102nd St, NY, NYC",40.789848,-73.948268
NY,E 73rd St,419,"419 E 73rd St, NY, NYC",40.768149,-73.954458
BX,Townsend Ave,1465,"1465 Townsend Ave, BX, NYC",40.841673,-73.915758
Q,STEINWAY STREET,30-72,"30-72 STEINWAY STREET, Q, NYC",40.762201,-73.916676
Q,89th Ave,153-15,"153-15 89th Ave, Q, NYC",40.705512,-73.80292
BX,University Ave,1352,"1352 University Ave, BX, NYC",40.841765,-73.926322
K,Farragut Rd,106-22,"106-22 Farragut Rd, K, NYC",40.65089,-73.89623
NY,W 13th St,327,"327 W 13th St, NY, NYC",40.739832,-74.004367
NY,W 43rd St,N,"N W 43rd St, NY, NYC",40.758458,-73.990606
BX,Perry Ave,3245,"3245 Perry Ave, BX, NYC",40.875832,-73.87654
Kings,OCEAN AVENUE,163,"163 OCEAN AVENUE, Kings, NYC",40.55716,-73.91702
NY,WORTH ST,125,"125 WORTH ST, NY, NYC",40.715585,-74.002533
Q,31st Ave,N,"N 31st Ave, Q, NYC",40.77801,-73.75066
NY,E 56th St,S,"S E 56th St, NY, NYC",40.759204,-73.967118
K,Mill Ave,2135,"2135 Mill Ave, K, NYC",40.614818,-73.9128
K,Atlantic Ave,2144,"2144 Atlantic Ave, K, NYC",40.676355,-73.915794
NY,W 38th St,210,"210 W 38th St, NY, NYC",40.753642,-73.989358
K,Nostrand Ave,566,"566 Nostrand Ave, K, NYC",40.679241,-73.949895
Q,82nd St,37-32,"37-32 82nd St, Q, NYC",40.748832,-73.884277
NY,E 89th St,119,"119 E 89th St, NY, NYC",40.781754,-73.954478
Q,54th St,5961,"5961 54th St, Q, NYC",40.715636,-73.913316
NY,E 96th St,205,"205 E 96th St, NY, NYC",40.785128,-73.948787
Q,Roosevelt Ave,80-04,"80-04 Roosevelt Ave, Q, NYC",40.74726,-73.885537
NY,Bleecker St,S,"S Bleecker St, NY, NYC",40.910628,-73.847006
K,Moore St,105,"105 Moore St, K, NYC",40.70405,-73.941465
NY,W 14th St,31,"31 W 14th St, NY, NYC",40.736887,-73.995084
BX,E 172nd St,259,"259 E 172nd St, BX, NYC",40.840418,-73.910509
K,E 27th St,884,"884 E 27th St, K, NYC",40.629234,-73.950498
Q,Jamaica Ave,134-06,"134-06 Jamaica Ave, Q, NYC",40.702256,-73.818426
Q,12th St,E,"E 12th St, Q, NYC",40.606104,-73.960782
K,Sutter Ave,362,"362 Sutter Ave, K, NYC",40.667321,-73.905899
Q,37th Ave,75-16,"75-16 37th Ave, Q, NYC",40.748992,-73.890359
Qns,31 AVENUE,82-18,"82-18 31 AVENUE, Qns, NYC",40.759122,-73.88528
Kings,EAST 87 STREET,1170,"1170 EAST 87 STREET, Kings, NYC",40.634121,-73.903268
K,Myrtle Ave,920,"920 Myrtle Ave, K, NYC",40.69565,-73.945121
K,Suydam St,184,"184 Suydam St, K, NYC",40.699777,-73.925734
Q,Roosevelt Ave,S,"S Roosevelt Ave, Q, NYC",40.750208,-73.860456
NY,Greenwich St,692,"692 Greenwich St, NY, NYC",40.733244,-74.007651
Q,Borden Ave,2-23,"2-23 Borden Ave, Q, NYC",40.742341,-73.957794
Q,Henley Rd,17540,"17540 Henley Rd, Q, NYC",40.71568,-73.78806
NY,W 196th St,S,"S W 196th St, NY, NYC",40.860743,-73.929143
Q,Lefferts Blvd,104-58,"104-58 Lefferts Blvd, Q, NYC",40.684574,-73.823639
NY,Broadway,1976,"1976 Broadway, NY, NYC",40.774249,-73.981921
BX,Newbold Ave,S,"S Newbold Ave, BX, NYC",40.833491,-73.850461
Q,Steinway St,31-02,"31-02 Steinway St, Q, NYC",40.76127,-73.917423
NY,W 19th St,328,"328 W 19th St, NY, NYC",40.743248,-74.001655
Q,Vernon Blvd,40-16,"40-16 Vernon Blvd, Q, NYC",40.757092,-73.946011
NY,W 46th St,N,"N W 46th St, NY, NYC",40.759929,-73.988262
Q,STEINWAY ST,23-50,"23-50 STEINWAY ST, Q, NYC",40.770143,-73.909692
